,njets,npv,pt_1,eta_1,phi_1,m_1,iso_1,q_1,mt_1,pt_2,eta_2,phi_2,m_2,iso_2,q_2,mt_2,dm_2,jpt_1,jeta_1,jphi_1,jm_1,jbtag_1,jpt_2,jeta_2,jphi_2,jm_2,jbtag_2,pt_met,phi_met,m_vis,pt_vis,mjj,ptjj,jdeta,gen_match,run,weight,sample_name
10158,1,14,17.526169,0.02634804,-1.5721295,0.10565837,0.0,-1,0.07335919959972294,34.81445,0.12733337,2.104848,1.1432425,0.0,1,55.295096097034474,1,34.12839,0.12355662,2.0440922,5.8976545,0.20617773,-999.0,-999.0,-999.0,-999.0,-999.0,23.63119,-1.5757414,47.729645,21.671228,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10159,3,20,128.29608,-0.800886,0.9938926,0.10565837,0.0,-1,52.64363676289505,36.76902,-0.84957194,-0.51996994,0.13957,0.25930643,1,62.235754114185525,0,132.33722,-1.8892736,-2.4573674,20.92054,0.11036602,58.06051,-0.8380236,-0.5524715,7.3207216,0.16500436,30.531567,1.8620318,94.38785,135.4574,174.86838,125.87689,-1.05125,True,1,0.036151208,VBF_HToTauTauSkim
10160,1,21,38.629566,0.37913302,-0.05610842,0.10565837,0.0,1,1.6245387358678627,23.517458,-0.58755594,2.8694797,0.13957,0.058849286,-1,64.65826914095184,0,63.30238,-1.1774348,-2.5740242,7.3387475,0.028920872,-999.0,-999.0,-999.0,-999.0,-999.0,45.172203,-0.017215637,67.14819,16.44988,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10161,2,15,24.178112,-1.857765,-1.9637582,0.10565837,0.04066515,-1,34.34399609551137,20.0406,0.94007814,-1.6891063,0.13957,0.036198396,1,35.26935290886214,0,60.909527,2.024089,1.2983967,9.396044,0.3388804,32.01403,-1.1644584,-2.3088257,8.732181,-1.0,24.481802,2.7522948,83.951385,43.80608,226.62668,35.357307,3.1885476,True,1,0.036151208,VBF_HToTauTauSkim
10162,3,27,34.02475,-0.1434971,-0.41767636,0.10565837,0.074338265,-1,0.454039762841741,32.358585,0.2685505,1.8073329,0.13957,0.100072026,1,77.21116475268173,0,46.795174,2.1670089,-2.944345,10.58028,0.47962645,35.218254,0.26045585,1.7789751,5.765348,0.2103701,57.560165,-0.40741915,61.087,29.407085,107.94816,58.87396,1.906553,True,1,0.036151208,VBF_HToTauTauSkim
10163,2,24,40.807716,1.0474981,-1.1258761,0.10565837,0.059338477,-1,19.512293027697574,93.97431,1.6475207,0.34017015,0.13957,0.013969735,1,84.7857769468792,0,112.38477,2.831645,2.7304287,16.700493,-10.0,102.642,1.6449444,0.3312435,11.740905,0.20011142,25.75194,-1.7372649,91.052055,106.29384,243.49275,78.5249,1.1867006,True,1,0.036151208,VBF_HToTauTauSkim
10164,3,19,43.276817,0.42307198,0.5773974,0.10565837,0.014025266,1,16.348634875312783,33.397587,-0.069058165,-0.6581226,1.1360087,0.19260006,-1,102.56997483494281,10,123.24173,-3.0478988,-1.9300027,19.888731,-10.0,113.07525,1.7749796,3.1119072,20.063463,0.033666242,185.75732,0.7599906,47.95688,62.764668,1313.7836,192.3366,-4.8228784,True,1,0.036151208,VBF_HToTauTauSkim
10165,1,20,22.604258,0.864851,-2.3560138,0.10565837,0.05157472,-1,22.36570030183302,70.24464,-0.5328948,-0.0030563932,0.69355476,0.044206027,1,10.643331233486627,1,71.343,-0.5459277,-0.010894716,9.164321,0.41666248,-999.0,-999.0,-999.0,-999.0,-999.0,5.6171017,0.5393845,95.162254,56.63051,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10166,4,15,24.472303,-1.1559517,-0.49598655,0.10565837,0.018504344,-1,53.48840579579163,52.749443,-1.652167,-2.49204,0.6015971,0.0,-1,39.41120069543152,1,92.79363,-1.6463573,-2.4812973,9.294653,0.39724052,75.21974,0.1538326,1.293992,10.731014,0.017917275,29.293541,2.7409525,63.022915,48.127567,235.03409,54.947464,-1.8001899,True,1,0.036151208,VBF_HToTauTauSkim
10167,1,13,24.170544,1.0518868,-1.4508048,0.10565837,0.07284225,1,19.4943551785772,35.412384,0.2717326,-3.140357,1.0936536,0.06360643,-1,47.44708721884592,10,109.53557,2.0904615,0.96835655,16.549444,0.014471813,-999.0,-999.0,-999.0,-999.0,-999.0,54.213596,-1.9960665,49.649723,40.440506,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10168,2,15,30.063576,1.0880411,3.0168457,0.10565837,0.031962782,1,49.37763203111478,22.027025,-0.36016458,-0.2966919,0.13957,0.05441642,-1,31.583687510730417,0,81.90026,1.1608073,1.150812,10.829053,0.093038745,57.77962,-1.8751227,-2.028918,10.308142,0.044541992,34.45252,-1.5176266,65.41104,9.171493,329.65146,24.262877,3.03593,True,1,0.036151208,VBF_HToTauTauSkim
10169,2,15,27.727894,0.06449611,-2.3090627,0.10565837,0.0,1,4.8544935101867654,23.698997,-0.8793233,1.4204953,1.1075302,0.105485305,-1,80.22358328062863,10,57.630486,-3.255579,-1.2097986,12.151441,-10.0,56.066082,2.2107525,1.2173098,14.810726,0.041705206,76.749084,-2.4143438,55.137905,15.392601,877.7239,39.785763,-5.4663315,True,1,0.036151208,VBF_HToTauTauSkim
10170,2,19,25.145533,0.22660993,2.4092972,0.10565837,0.0,1,11.47573385288762,35.90651,2.0185595,0.07583308,0.82020634,0.051867157,-1,50.88167473130407,1,66.46308,2.6760051,-2.378548,18.70654,-1.0,42.438538,2.0142856,0.10023685,4.819548,0.1689458,27.388418,1.968449,82.56638,25.962463,109.21673,42.090405,0.66171956,True,1,0.036151208,VBF_HToTauTauSkim
10171,3,13,22.308487,1.2927057,2.591083,0.10565837,0.0,1,12.989146651975101,66.87854,1.965783,-1.653632,0.13957,0.0,-1,23.131296290256728,0,66.26143,1.9774866,-1.6508887,8.540501,-1.0,62.20591,2.777637,-0.08122111,11.954292,-10.0,8.173229,-2.6885793,70.92962,60.209835,107.01686,90.936554,-0.8001504,True,1,0.036151208,VBF_HToTauTauSkim
10172,2,15,20.239735,0.34497732,0.10176279,0.10565837,0.5090883,-1,8.354179073217875,74.73785,-0.15604971,2.6170197,0.7436011,0.0,1,96.08595319216249,1,83.74934,-0.15441349,2.607287,5.3666677,0.3759532,34.985706,1.9837173,-1.2460474,7.436821,0.89656717,31.56134,-0.23030053,76.58278,59.534134,172.63885,61.64872,-2.138131,True,1,0.036151208,VBF_HToTauTauSkim
10173,1,15,47.699646,1.8802079,0.32744658,0.10565837,0.05270741,-1,19.340977884969206,55.24779,1.8587079,-3.0280814,1.0434241,0.0,1,22.24407414911421,1,63.164818,1.8606852,-3.0518897,6.225257,0.21710283,-999.0,-999.0,-999.0,-999.0,-999.0,3.7954528,-1.2764695,102.09964,13.308962,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10174,2,32,30.215374,-0.30218205,-2.222447,0.10565837,0.25194883,1,0.9109029276036035,69.577835,-0.21890678,-0.15277657,1.1799603,0.08685266,-1,112.49438769258344,10,77.762405,-0.56643987,1.3273128,13.151185,0.08606501,68.99214,-0.23548086,-0.17915927,10.324886,0.7377455,62.292995,-2.2014496,78.94891,61.17506,105.75645,107.222336,-0.33095902,True,1,0.036151208,VBF_HToTauTauSkim
10175,4,28,108.75318,-0.21948278,-0.02953812,0.10565837,0.0,1,8.938202965057291,92.39751,0.08707744,0.84595495,0.63220346,0.0,-1,53.44650407831155,1,171.46326,1.8539218,-2.4289951,20.839315,0.23827466,101.476616,-2.7873187,2.6863205,17.23217,-1.0,56.044548,0.08501315,90.41671,182.3159,1338.6384,230.95947,4.6412406,True,1,0.036151208,VBF_HToTauTauSkim
10176,16,45,21.42794,0.1573037,-0.30085987,0.10565837,0.0,1,42.01026323648516,72.22385,-1.2761406,-2.521688,1.0387448,0.06266038,-1,65.04797890833136,1,111.665855,-0.4817907,1.7132534,18.607313,0.12542461,105.00712,-1.2919525,-2.4866955,14.41075,-1.0,24.676958,2.002553,93.45039,61.661816,210.53362,109.53265,0.8101618,True,1,0.036151208,VBF_HToTauTauSkim
10177,3,22,36.152805,-0.39671668,-0.7875035,0.10565837,0.0,-1,20.223252315550752,69.87476,-0.20455146,-2.3028088,0.13957,0.0,1,70.89236331060177,0,84.57174,-1.2988778,1.1839024,12.084006,0.06673486,68.475105,-0.20976107,-2.307397,7.436016,0.14172687,66.00095,-1.204523,69.754974,80.43459,174.45056,30.985952,-1.0891168,True,1,0.036151208,VBF_HToTauTauSkim
10178,2,7,32.071644,-1.3609229,2.1004949,0.10565837,0.032095872,1,84.5686164129508,35.61919,-1.0505893,-0.8562122,0.5617131,0.051732678,-1,1.689460445215873,1,65.49598,-3.1909826,2.305428,9.342301,-10.0,31.71146,-1.0333571,-0.84939677,4.359581,0.17410235,56.44515,-0.8185323,68.1332,7.1779604,150.91003,33.7899,-2.1576254,True,1,0.036151208,VBF_HToTauTauSkim
10179,2,19,36.82731,0.58770186,1.2688566,0.10565837,0.031668566,1,30.75739224687351,76.00007,0.17728648,-0.8572882,0.13957,0.022592047,-1,51.23306572128121,0,100.111206,2.319604,3.0375159,13.030561,0.2193262,67.48565,0.19305575,-0.81696886,6.676571,0.16415437,29.199116,0.29259694,95.01198,64.659904,261.25174,65.99235,2.1265483,True,1,0.036151208,VBF_HToTauTauSkim
10180,2,20,66.28328,-0.053141292,-2.0506027,0.10565837,0.019671798,-1,22.7986612236262,36.687496,-0.15162666,-2.8701708,0.9597508,0.030432843,1,50.41887483380838,1,305.261,-1.5198431,0.82550746,27.477516,0.16357517,39.14249,-0.1864763,-2.8775039,6.0469713,0.5837745,188.82744,-2.254743,39.625553,95.17871,264.97192,272.92358,-1.3333668,True,1,0.036151208,VBF_HToTauTauSkim
10181,1,19,22.884233,-1.8296356,0.8857538,0.10565837,0.0,1,33.86868675870456,31.578062,-2.255467,-2.1429136,0.04250212,0.02960273,-1,6.286080634994537,0,44.873875,-2.260181,-2.1583736,9.070785,0.3666448,-999.0,-999.0,-999.0,-999.0,-999.0,13.109474,-1.832717,54.90374,9.208043,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10182,3,23,29.022095,1.8726188,-1.1430523,0.10565837,0.02276095,-1,42.52630063374495,49.43169,1.2311537,2.4112637,0.6394761,0.0471749,1,45.21574071066459,1,79.72574,3.013033,-0.9580465,12.856101,-10.0,53.118332,1.2376665,2.4078953,8.052108,-1.0,32.48321,-2.6730115,78.16146,25.641273,186.41847,30.335041,1.7753664,True,1,0.036151208,VBF_HToTauTauSkim
10183,4,18,22.69327,1.964732,-1.4379563,0.10565837,0.0,-1,13.536809227362278,62.777115,0.81306297,3.0539408,1.0560925,0.0,1,65.749406077213,1,60.058605,0.8066875,3.030847,5.516193,0.3948285,42.41968,-0.89086914,1.2485669,9.859468,0.083805315,19.47162,-0.78230387,74.71578,61.909573,125.40965,65.85514,1.6975566,True,1,0.036151208,VBF_HToTauTauSkim
10184,2,14,21.406286,1.5852052,1.8471925,0.10565837,0.0,1,1.4394451294122566,27.27613,-0.9536006,2.4148798,0.7722719,0.09799656,-1,7.492124821698285,1,56.794544,2.9363806,-0.8056576,13.092568,-10.0,35.108055,-0.95772874,2.451829,4.6146927,0.18523721,9.600111,1.9476472,80.35859,46.763348,319.9311,22.294739,3.8941092,True,1,0.036151208,VBF_HToTauTauSkim
10185,2,17,111.90452,-0.9753292,-2.8093364,0.10565837,0.0,-1,20.89819952529076,39.0481,1.4251834,0.48972344,1.1212851,0.15436158,-1,105.34612199037169,1,119.803955,-2.859052,0.038079347,19.828175,-10.0,53.855717,1.4263059,0.50210637,9.879415,-1.0,73.794075,-3.0398178,239.21407,73.59473,677.16656,169.68546,-4.285358,True,1,0.036151208,VBF_HToTauTauSkim
10186,2,18,35.29724,1.6420736,1.6473441,0.10565837,0.054670025,-1,55.95192047285526,74.11752,1.6034894,-2.7665882,0.6644912,0.0,1,68.66968098696823,1,105.338356,1.5950875,-2.7819042,8.88458,0.33850884,88.868645,2.6638472,0.39174393,16.475502,-1.0,24.363956,-0.88515645,82.31286,72.11638,223.24374,16.75917,-1.0687597,True,1,0.036151208,VBF_HToTauTauSkim
10187,3,13,23.404066,0.7708895,0.45881793,0.10565837,0.09370674,1,9.386195043547009,26.283154,1.0251253,-2.8943388,1.1474189,0.044881694,-1,90.07958995730984,10,90.40517,2.274589,-2.519862,24.2093,0.195564,72.4419,-1.5924501,0.5883672,12.03284,0.8696771,80.82371,0.6750505,49.75334,5.976584,572.3658,18.165026,3.8670392,True,1,0.036151208,VBF_HToTauTauSkim
10188,1,11,18.732082,-1.7194623,0.98757184,0.10565837,0.0,1,13.341584754373262,34.773506,-0.92384356,-2.0784137,1.1093601,0.0,-1,80.48129535623735,10,45.684235,1.3115215,-2.9283562,10.337847,0.07043969,-999.0,-999.0,-999.0,-999.0,-999.0,48.21676,1.4352313,55.126266,16.157013,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10189,6,28,36.715427,0.23993929,-2.9504344,0.10565837,0.03827261,-1,26.283714501384445,67.609764,0.8760845,1.1232023,0.5835221,0.1902223,1,141.37526825984975,1,104.78319,0.88017535,1.0887837,16.627346,0.15722628,55.084538,-2.8310568,-1.4148998,15.761285,-1.0,77.501236,-2.4525797,94.67805,54.39864,496.97836,68.84869,3.7112322,True,1,0.036151208,VBF_HToTauTauSkim
10190,1,18,25.511196,-0.48475906,0.7787889,0.10565837,0.15087049,1,13.31113170157812,26.021626,1.9340501,1.7409567,0.7269913,0.0,-1,4.0483169659077,1,38.755943,2.5783143,-1.8155594,9.080274,-1.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.173678,1.5218666,82.203064,45.684143,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10191,1,12,34.705048,-1.255206,1.4773026,0.10565837,0.0391058,1,1.6306943482770049,27.74931,0.5373346,1.8873655,0.13957,0.0,-1,20.47544666517968,0,113.01747,-0.9418529,-1.8118716,13.2932825,0.015069842,-999.0,-999.0,-999.0,-999.0,-999.0,78.87476,1.4461335,64.6283,61.16262,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10192,2,11,93.81742,0.69916064,-3.027876,0.10565837,0.0313327,-1,35.054295867279556,54.293056,-0.11494089,-1.4941784,0.78762734,0.01806551,1,7.743494273246082,1,93.093765,-2.878335,0.7573451,17.50009,-10.0,56.762142,-0.110249825,-1.510935,4.8130493,0.14405973,4.5303636,-0.9952805,115.66276,110.12399,303.27197,71.417076,-2.7680852,True,1,0.036151208,VBF_HToTauTauSkim
10193,2,12,35.498226,0.870183,0.048129335,0.10565837,0.03685447,1,36.38673578982195,94.961845,0.48430097,-1.6975033,0.94967693,0.0,-1,69.04866565908323,1,96.69088,0.4934919,-1.6778431,7.4209933,0.14460897,79.23533,-0.6486049,2.148625,10.377714,0.08882292,60.958992,-0.7555297,91.78383,95.42082,196.59816,61.318756,1.1420968,True,1,0.036151208,VBF_HToTauTauSkim
10194,2,14,30.05737,0.08058995,2.1911657,0.10565837,0.05026793,1,17.557805095513885,26.172539,-0.28821653,-2.403281,1.0869191,0.0,-1,62.413127598675224,1,44.042336,-2.784594,-0.64928514,7.7584543,-10.0,36.422047,0.60725385,-0.22199194,7.461013,0.22581428,94.3897,2.522311,43.234478,37.460804,213.0477,78.65156,-3.3918478,True,1,0.036151208,VBF_HToTauTauSkim
10195,3,24,25.362354,0.23530073,0.69931155,0.10565837,0.12276526,-1,17.460177735184892,34.37338,1.4408238,3.016296,1.0663458,0.0,1,25.1531305385715,10,71.81711,2.8217356,-2.6095626,12.807818,-10.0,39.074158,0.89721155,-0.30721536,8.268457,0.08776643,12.611962,1.7191957,66.00601,25.321108,156.11234,54.17818,1.9245241,True,1,0.036151208,VBF_HToTauTauSkim
