,njets,npv,pt_1,eta_1,phi_1,m_1,iso_1,q_1,mt_1,pt_2,eta_2,phi_2,m_2,iso_2,q_2,mt_2,dm_2,jpt_1,jeta_1,jphi_1,jm_1,jbtag_1,jpt_2,jeta_2,jphi_2,jm_2,jbtag_2,pt_met,phi_met,m_vis,pt_vis,mjj,ptjj,jdeta,gen_match,run,weight,sample_name
4580,1,12,22.92717,1.0247259,-1.7476946,0.10565837,0.1384908,-1,6.470871774152391,52.16599,-0.6336063,1.3322692,0.8065424,0.02759744,1,69.51290110157628,1,54.154152,-0.6345325,1.3024863,4.467545,0.1927383,-999.0,-999.0,-999.0,-999.0,-999.0,23.43552,-2.0277672,94.319084,29.316374,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4581,1,10,23.032616,-1.5518478,1.0214306,0.10565837,0.08112358,-1,5.710898590518549,44.853287,0.12051712,-2.2678485,0.863277,0.0,1,52.952337245652075,1,55.065052,0.12559284,-2.2959702,6.291921,0.16285549,-999.0,-999.0,-999.0,-999.0,-999.0,15.720962,0.72017384,87.97919,22.330109,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4582,1,23,28.924595,-0.09643679,2.1136756,0.10565837,0.056914117,-1,35.80263004100678,62.73079,-0.33906496,-0.8069136,1.0208606,0.0,1,30.435701757231758,1,65.25894,-0.34042633,-0.8323041,6.5935574,0.13272136,-999.0,-999.0,-999.0,-999.0,-999.0,16.38047,0.18240853,85.3139,35.08734,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4583,2,13,45.4544,-1.1623402,2.3484402,0.10565837,0.011641311,-1,44.973812726417705,114.68943,-1.0026134,-2.9570208,0.116780005,0.0,1,28.73897580416323,0,104.41005,-2.5858872,0.18902233,21.407228,0.23150755,100.01456,-1.0271494,-0.45267043,11.598633,-1.0,94.434944,3.049131,68.7914,145.0763,190.75833,193.99753,-1.5587378,True,1,0.47121727,GluGluToHToTauTauSkim
4584,0,13,17.787704,1.8487732,-1.8181226,0.10565837,0.17459947,-1,17.994280012515567,30.696167,0.1151911,1.2511787,0.69703615,0.03654886,1,12.105803312334858,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.583217,2.2124863,65.40622,13.018474,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4585,1,9,17.213379,0.9423727,0.097710714,0.10565837,0.0,-1,6.9086809718334194,34.735786,1.8072251,-3.115659,0.6829707,0.0,1,38.292835709929,1,41.270706,1.7928941,3.1393626,4.929526,0.17634928,-999.0,-999.0,-999.0,-999.0,-999.0,11.45559,0.59479946,53.526096,17.61005,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4586,1,21,25.126158,-0.09174091,2.5538974,0.10565837,0.08069947,1,2.2876846847172656,24.139345,-0.38628474,-0.50662106,0.6302457,0.0,-1,58.348436490152025,1,34.723427,-0.4091083,-0.46017036,4.715314,0.43542835,-999.0,-999.0,-999.0,-999.0,-999.0,35.47941,2.4772584,49.75881,2.2267346,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4587,3,26,31.206108,-0.072878286,1.0425408,0.10565837,0.10317562,-1,55.13997746835494,96.57768,0.60343,-0.97605664,0.13957,0.0,1,24.34731934099155,0,104.19398,0.62762445,-1.0030278,7.8839903,0.2275009,45.632786,-2.239684,2.8633487,11.1757145,-1.0,45.22381,-0.60553265,100.346504,87.69949,302.30576,76.28664,2.8673086,True,1,0.47121727,GluGluToHToTauTauSkim
4588,1,18,49.68956,-0.16309664,-2.4771628,0.10565837,0.0,1,33.67406597642614,34.509758,0.04304394,0.4665902,0.8948795,0.043208502,-1,29.352606770228594,1,34.91151,0.04078136,0.4819341,2.2523375,0.263136,-999.0,-999.0,-999.0,-999.0,-999.0,10.874082,2.1858974,82.869255,17.243113,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4589,1,32,18.714003,-0.2292705,-1.5223113,0.10565837,0.0,-1,55.059626757824,45.91814,0.65845025,1.4241968,0.13957,0.0,1,38.18210427671164,0,42.53981,0.6555825,1.4012367,5.0200057,0.21348928,-999.0,-999.0,-999.0,-999.0,-999.0,45.374138,2.2872274,64.24604,27.796856,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
